run_id,event_id,prev_peak_side,prev_peak_deg,zero_cross_rate_dps,next_peak_deg,prev_peak_candidate_ms,next_peak_candidate_ms,zero_cross_left_sample_ms,zero_cross_right_sample_ms,zero_cross_interpolated_ms,zero_cross_linear_fraction,peak_source,zero_cross_rate_source
v61_run1_102479546_imu_free_decay,free_peak_15_to_16,-1,-12.67,93.89,12.64,5588.0,6058.0,5815.0,5835.0,5834.89247311828,0.9946236559139785,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_16_to_17,1,12.64,-84.62339181286549,-10.11,6058.0,6518.0,6296.0,6317.0,6309.140350877193,0.6257309941520468,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_17_to_18,-1,-10.11,82.24626506024097,10.85,6518.0,6964.0,6725.0,6746.0,6744.608433734939,0.9337349397590361,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_18_to_19,1,10.85,-75.13529801324503,-7.09,6964.0,7418.0,7210.0,7231.0,7212.920529801325,0.1390728476821192,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_19_to_20,-1,-7.09,69.61391061452514,9.86,7418.0,7844.0,7612.0,7634.0,7622.078212290503,0.45810055865921784,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_20_to_21,1,9.86,-65.12558139534883,-5.52,7844.0,8238.0,8086.0,8107.0,8088.441860465116,0.11627906976744187,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_21_to_22,-1,-5.52,62.6232,8.25,8238.0,8604.0,8390.0,8411.0,8404.784,0.704,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_22_to_23,1,8.25,-56.31427350427351,-4.63,8604.0,8953.0,8816.0,8837.0,8825.51282051282,0.45299145299145305,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_23_to_24,-1,-4.63,53.479847328244276,6.71,8953.0,9293.0,9092.0,9114.0,9103.75572519084,0.5343511450381678,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_24_to_25,1,6.71,-47.16888888888889,-4.0,9293.0,9628.0,9494.0,9515.0,9503.333333333334,0.4444444444444445,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run1_102479546_imu_free_decay,free_peak_25_to_26,-1,-4.0,43.608172043010754,5.15,9628.0,9948.0,9769.0,9789.0,9782.118279569893,0.6559139784946237,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
