run_id,event_id,prev_peak_side,prev_peak_deg,zero_cross_rate_dps,next_peak_deg,prev_peak_candidate_ms,next_peak_candidate_ms,zero_cross_left_sample_ms,zero_cross_right_sample_ms,zero_cross_interpolated_ms,zero_cross_linear_fraction,peak_source,zero_cross_rate_source
v62_run2_107933178_imu_free_decay,free_peak_15_to_16,-1,-13.75,101.96865671641791,14.27,5737.0,6227.0,5967.0,5987.0,5984.313432835821,0.8656716417910448,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_16_to_17,1,14.27,-92.45820105820106,-10.99,6227.0,6693.0,6469.0,6490.0,6481.555555555556,0.5978835978835979,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_17_to_18,-1,-10.99,89.12351111111111,11.84,6693.0,7142.0,6915.0,6937.0,6919.791111111111,0.21777777777777776,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_18_to_19,1,11.84,-80.30907407407408,-9.4,7142.0,7597.0,7378.0,7398.0,7388.740740740741,0.537037037037037,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_19_to_20,-1,-9.4,77.36210191082803,9.69,7597.0,8053.0,7799.0,7820.0,7819.732484076433,0.9872611464968153,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_20_to_21,1,9.69,-69.90697674418605,-7.31,8053.0,8477.0,8285.0,8307.0,8289.60465116279,0.2093023255813953,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_21_to_22,-1,-7.31,65.46313432835821,7.89,8477.0,8857.0,8648.0,8669.0,8666.649253731342,0.8880597014925373,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_22_to_23,1,7.89,-58.987272727272725,-5.63,8857.0,9217.0,9049.0,9069.0,9068.504132231405,0.9752066115702479,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_23_to_24,-1,-5.63,52.73777777777778,5.19,9217.0,9562.0,9397.0,9417.0,9401.444444444445,0.2222222222222222,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_24_to_25,1,5.19,-48.373829787234044,-4.89,9562.0,9897.0,9733.0,9754.0,9743.053191489362,0.4787234042553192,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run2_107933178_imu_free_decay,free_peak_25_to_26,-1,-4.89,42.48272727272727,4.61,9897.0,10222.0,10048.0,10068.0,10067.772727272728,0.9886363636363636,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
