run_id,event_id,prev_peak_side,prev_peak_deg,zero_cross_rate_dps,next_peak_deg,prev_peak_candidate_ms,next_peak_candidate_ms,zero_cross_left_sample_ms,zero_cross_right_sample_ms,zero_cross_interpolated_ms,zero_cross_linear_fraction,peak_source,zero_cross_rate_source
v62_run1_58517125_imu_free_decay,free_peak_15_to_16,-1,-14.25,98.16267716535432,13.49,5743.0,6223.0,5976.0,5998.0,5993.496062992126,0.7952755905511811,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_16_to_17,1,13.49,-92.53844827586207,-11.64,6223.0,6673.0,6461.0,6483.0,6469.724137931034,0.3965517241379311,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_17_to_18,-1,-11.64,86.10303370786517,10.82,6673.0,7138.0,6909.0,6929.0,6917.539325842697,0.42696629213483145,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_18_to_19,1,10.82,-77.97120418848168,-9.15,7138.0,7589.0,7371.0,7393.0,7374.801047120419,0.17277486910994763,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_19_to_20,-1,-9.15,74.37026315789474,8.93,7589.0,8033.0,7801.0,7823.0,7818.9473684210525,0.8157894736842106,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_20_to_21,1,8.93,-70.77269662921348,-7.06,8033.0,8453.0,8266.0,8289.0,8267.6797752809,0.07303370786516855,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_21_to_22,-1,-7.06,65.95716417910448,7.5,8453.0,8829.0,8629.0,8649.0,8641.388059701492,0.6194029850746269,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_22_to_23,1,7.5,-61.228852459016395,-5.89,8829.0,9193.0,9039.0,9060.0,9039.516393442624,0.02459016393442623,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_23_to_24,-1,-5.89,56.90299145299145,6.4,9193.0,9538.0,9360.0,9381.0,9365.205128205129,0.24786324786324787,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_24_to_25,1,6.4,-50.85415384615384,-4.65,9538.0,9878.0,9721.0,9743.0,9736.569230769232,0.7076923076923077,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v62_run1_58517125_imu_free_decay,free_peak_25_to_26,-1,-4.65,46.86625,5.24,9878.0,10198.0,10029.0,10050.0,10033.59375,0.21875,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
