q_switch_deg,ankle_y_mm,ankle_z_mm,ankle_travel_from_q0_mm,max_stride_fraction,ideal_uniform_step_proxy_time_ms,ideal_uniform_step_proxy_qdot_dps
0.0,11.227385,-71.139867,0.000000,0.000000,0.000000,0.000000
-2.5,8.637054,-71.573311,2.590331,0.12391484,32.273458,-153.130291
-5.0,6.030282,-71.893353,5.197103,0.24861619,45.915031,-212.617445
-7.5,3.412031,-72.099385,7.815354,0.37386666,56.584125,-255.402543
-10.0,0.787285,-72.191015,10.440099,0.49942783,65.760371,-288.935308
-12.5,-1.838959,-72.168067,13.066344,0.62506070,74.017255,-316.118475
-15.0,-4.461703,-72.030586,15.689088,0.75052611,81.650508,-338.439044
-17.5,-7.075954,-71.778833,18.303339,0.87558523,88.837920,-356.771759
-20.0,-9.676735,-71.413288,20.904120,1.00000000,95.697752,-371.674503
